eventnumber,PID,time,x,y,z,r,material,energydeposition,pedetected,detectionefficiency,quantumefficiency,InnerSlice0,InnerSlice1,InnerSlice2,InnerSlice3,InnerSlice4,InnerSlice5,InnerSlice6,InnerSlice7,InnerSlice8,InnerSlice9,InnerSlice10,InnerSlice11,OuterSlice0,OuterSlice1,OuterSlice2,OuterSlice3,OuterSlice4,OuterSlice5,OuterSlice6,OuterSlice7,OuterSlice8,OuterSlice9,OuterSlice10,OuterSlice11,OuterSlice12,OuterSlice13,OuterSlice14,OuterSlice15,OuterSlice16,OuterSlice17,OuterSlice18,OuterSlice19,
49232,11,27.1546194515712,-2.91245900682452,665.347527652611,-206.402634696355,665.353902048307,ArgonLiquid,13.4992761670942,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.3108917906453,184.640302529873,129.720668029004,58.4042325149997,225.653479991366,GermaniumEnriched,1.70666963066221,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.3109344729154,184.643008299716,129.726758836248,58.4058574574632,225.659195407869,GermaniumEnriched,94.3537660447101,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.3069202451262,183.679275254606,129.177782217753,57.9040656418497,224.555061347444,GermaniumEnriched,104.927491284313,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.219445023133,207.409407297174,127.855881438897,69.5823133750085,243.650956603668,GermaniumEnriched,638.398243867407,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1487736558162,199.507154641165,142.577818115544,56.534685883262,245.21733008008,GermaniumEnriched,206.331657672214,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1456874287497,199.206092394099,143.534256093225,56.0772135856272,245.530344192244,GermaniumEnriched,264.594956312741,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1462859694994,199.116869268456,143.648190727113,56.1526695284338,245.524602283446,GermaniumEnriched,354.725713745038,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1465090032705,199.149314901359,143.653442766835,56.1946259735241,245.553988451512,GermaniumEnriched,335.311339277968,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,23.815370880822,395.265137731701,574.287010821032,392.372492336954,697.16576214256,ArgonLiquid,13.5490061174613,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
